latitude,longitude,CLUSTER
-3.81078640003,-38.53948,19
-3.83427565915,-38.5606720595,4
-3.78593530003,-38.5680712,10
-3.78521240003,-38.4962338,1
-3.78999185021,-38.4734555029,9
-3.78593530003,-38.5680712,10
-3.80718905003,-38.5896706,29
-3.80038000878,-38.4940263942,12
-3.78548130003,-38.4988966,1
-3.75326830603,-38.5489439769,2
-3.79603641866,-38.4936592418,12
-3.78991120003,-38.4734263,9
-3.78569310003,-38.4888192,1
-3.83920340003,-38.5631036,4
-3.81078640003,-38.53948,19
-3.79593716325,-38.4936408392,12
-3.720874989,-38.5275923634,-1
-3.78857430003,-38.4609435,-1
-3.80496301652,-38.5841782161,18
-3.79122940003,-38.5078749,1
-3.77190833336,-38.4985483333,-1
-3.78988845003,-38.4733718,9
-3.79586530003,-38.4936533,12
-3.76870305003,-38.5791319,0
-3.80677225003,-38.5818794,18
-3.73776510003,-38.5382384,25
